QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Lamar Jackson ($8100),Alvin Kamara ($7200),J.K. Dobbins ($5000),Adam Thielen ($6700),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Ian Thomas ($3400),Patriots ($3200),Curtis Samuel ($4600),136.7
Lamar Jackson ($8100),Todd Gurley II ($6100),Ronald Jones II ($5200),Chris Godwin ($7100),T.Y. Hilton ($5800),Marquise Brown ($5100),Mark Andrews ($6000),Jets ($2100),Preston Williams ($4500),136.7
Tom Brady ($6500),Christian McCaffrey ($10000),Ronald Jones II ($5200),Chris Godwin ($7100),T.Y. Hilton ($5800),Terry McLaurin ($5600),Dallas Goedert ($4100),Lions ($2700),Chris Thompson ($3000),136.7
Carson Wentz ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),Mike Evans ($6900),Calvin Ridley ($6100),Dontrelle Inman ($3400),Dallas Goedert ($4100),Dolphins ($2000),Todd Gurley II ($6100),136.7
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Chris Godwin ($7100),Parris Campbell ($3900),Dontrelle Inman ($3400),Mark Andrews ($6000),Cardinals ($2100),Antonio Gibson ($4000),136.6
Lamar Jackson ($8100),Joe Mixon ($6700),Mark Ingram II ($5500),Davante Adams ($7300),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Irv Smith Jr. ($3100),Dolphins ($2000),Terry McLaurin ($5600),136.5
Cam Newton ($6100),Alvin Kamara ($7200),Josh Jacobs ($6800),Davante Adams ($7300),DeVante Parker ($6000),Terry McLaurin ($5600),Logan Thomas ($2800),Bills ($3700),Preston Williams ($4500),136.5
Carson Wentz ($6300),Christian McCaffrey ($10000),Joe Mixon ($6700),Calvin Ridley ($6100),T.Y. Hilton ($5800),DeSean Jackson ($4900),Logan Thomas ($2800),Lions ($2700),Curtis Samuel ($4600),136.5
Russell Wilson ($7000),Dalvin Cook ($7900),Josh Jacobs ($6800),Calvin Ridley ($6100),DK Metcalf ($5800),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Chargers ($2800),Marquise Brown ($5100),136.5
Cam Newton ($6100),Josh Jacobs ($6800),Miles Sanders ($6300),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Zach Ertz ($5800),Ravens ($3100),Dontrelle Inman ($3400),136.5
Tyrod Taylor ($5600),Austin Ekeler ($7000),Joe Mixon ($6700),Adam Thielen ($6700),Kenny Golladay ($6200),Calvin Ridley ($6100),Chris Herndon ($3300),Raiders ($2600),DK Metcalf ($5800),136.4
Carson Wentz ($6300),Alvin Kamara ($7200),Joe Mixon ($6700),Odell Beckham Jr. ($5900),Marquise Brown ($5100),DeSean Jackson ($4900),George Kittle ($7200),Dolphins ($2000),Steven Sims Jr. ($4700),136.4
Cam Newton ($6100),Alvin Kamara ($7200),Ronald Jones II ($5200),Mike Evans ($6900),Kenny Golladay ($6200),Calvin Ridley ($6100),Mike Gesicki ($4500),WAS Football Team ($2000),T.Y. Hilton ($5800),136.4
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Alvin Kamara ($7200),Tyler Lockett ($6500),Terry McLaurin ($5600),Curtis Samuel ($4600),Ian Thomas ($3400),Ravens ($3100),Antonio Gibson ($4000),136.4
Drew Brees ($6800),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Mike Evans ($6900),Kenny Golladay ($6200),Logan Thomas ($2800),Cardinals ($2100),Antonio Gibson ($4000),136.4
Tom Brady ($6500),Christian McCaffrey ($10000),Dalvin Cook ($7900),Odell Beckham Jr. ($5900),Allen Lazard ($4900),Chris Thompson ($3000),Robert Tonyan ($2500),Dolphins ($2000),Alvin Kamara ($7200),136.4
Kirk Cousins ($5700),Dalvin Cook ($7900),Josh Jacobs ($6800),Adam Thielen ($6700),Kenny Golladay ($6200),Parris Campbell ($3900),Tyler Eifert ($3300),Patriots ($3200),Miles Sanders ($6300),136.4
Drew Brees ($6800),Dalvin Cook ($7900),Todd Gurley II ($6100),Davante Adams ($7300),DK Metcalf ($5800),T.Y. Hilton ($5800),Tyler Eifert ($3300),Jets ($2100),Allen Lazard ($4900),136.4
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Chris Thompson ($4000),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Ravens ($3100),DeSean Jackson ($4900),136.3
Tom Brady ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Terry McLaurin ($5600),Preston Williams ($4500),N'Keal Harry ($4400),Mike Gesicki ($4500),Ravens ($3100),Miles Sanders ($6300),136.3
Drew Brees ($6800),Dalvin Cook ($7900),Miles Sanders ($6300),Chris Godwin ($7100),Terry McLaurin ($5600),Marquise Brown ($5100),Dallas Goedert ($4100),Bills ($3700),Dontrelle Inman ($3400),136.3
Carson Wentz ($6300),Dalvin Cook ($7900),Joe Mixon ($6700),Chris Godwin ($7100),Kenny Golladay ($6200),Terry McLaurin ($5600),Irv Smith Jr. ($3100),Ravens ($3100),Antonio Gibson ($4000),136.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Marquise Brown ($5100),Robby Anderson ($4700),Curtis Samuel ($4600),Zach Ertz ($5800),Jets ($2100),Tevin Coleman ($4200),136.3
Tyrod Taylor ($5600),Alvin Kamara ($7200),Austin Ekeler ($7000),Michael Thomas ($9000),Chris Godwin ($7100),Marquise Brown ($5100),Ian Thomas ($3400),Jets ($2100),Dontrelle Inman ($3400),136.3
Josh Allen ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Mike Evans ($6900),DeSean Jackson ($4900),Parris Campbell ($3900),Ian Thomas ($3400),Dolphins ($2000),Ronald Jones II ($5200),136.2
Lamar Jackson ($8100),Christian McCaffrey ($10000),Alvin Kamara ($7200),DeSean Jackson ($4900),Steven Sims Jr. ($4700),Preston Williams ($4500),Dallas Goedert ($4100),Cardinals ($2100),N'Keal Harry ($4400),136.2
Kirk Cousins ($5700),Christian McCaffrey ($10000),Chris Carson ($6200),Davante Adams ($7300),T.Y. Hilton ($5800),Marquise Brown ($5100),Tyler Eifert ($3300),Lions ($2700),Parris Campbell ($3900),136.2
Lamar Jackson ($8100),Dalvin Cook ($7900),Joe Mixon ($6700),Adam Thielen ($6700),Allen Lazard ($4900),Chris Thompson ($3000),Mark Andrews ($6000),Lions ($2700),Antonio Gibson ($4000),136.2
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Miles Sanders ($6300),Julio Jones ($7700),Calvin Ridley ($6100),DK Metcalf ($5800),Dallas Goedert ($4100),Patriots ($3200),Chris Thompson ($3000),136.2
Carson Wentz ($6300),Josh Jacobs ($6800),Miles Sanders ($6300),Julio Jones ($7700),Adam Thielen ($6700),Tyler Lockett ($6500),Logan Thomas ($2800),Dolphins ($2000),DeSean Jackson ($4900),136.1
Tyrod Taylor ($5600),Alvin Kamara ($7200),Ronald Jones II ($5200),Chris Godwin ($7100),Calvin Ridley ($6100),DK Metcalf ($5800),Zach Ertz ($5800),Patriots ($3200),Parris Campbell ($3900),136.1
Mitchell Trubisky ($5400),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Ian Thomas ($3400),Chargers ($2800),Allen Lazard ($4900),136.1
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Joe Mixon ($6700),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Mark Andrews ($6000),Patriots ($3200),Chris Thompson ($3000),136
Matthew Stafford ($6200),Alvin Kamara ($7200),Miles Sanders ($6300),Kenny Golladay ($6200),Calvin Ridley ($6100),Christian Kirk ($5000),George Kittle ($7200),Chargers ($2800),Chris Thompson ($3000),136
Drew Brees ($6800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Kenny Golladay ($6200),DK Metcalf ($5800),Robby Anderson ($4700),Irv Smith Jr. ($3100),Dolphins ($2000),Bryan Edwards ($4200),136
Carson Wentz ($6300),Alvin Kamara ($7200),Matt Breida ($5000),Davante Adams ($7300),Calvin Ridley ($6100),DeSean Jackson ($4900),Zach Ertz ($5800),Colts ($3000),N'Keal Harry ($4400),136
Josh Allen ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Chris Godwin ($7100),Adam Thielen ($6700),DeSean Jackson ($4900),Mo Alie-Cox ($2600),Cardinals ($2100),Allen Lazard ($4900),136
Lamar Jackson ($8100),Josh Jacobs ($6800),Mark Ingram II ($5500),Michael Thomas ($9000),Terry McLaurin ($5600),Marquise Brown ($5100),Dallas Goedert ($4100),Chargers ($2800),Chris Thompson ($3000),135.9
Cam Newton ($6100),Christian McCaffrey ($10000),Dalvin Cook ($7900),Kenny Golladay ($6200),T.Y. Hilton ($5800),Parris Campbell ($3900),Jack Doyle ($3600),Ravens ($3100),Damiere Byrd ($3200),135.9
Cam Newton ($6100),Todd Gurley II ($6100),Antonio Gibson ($4000),Julio Jones ($7700),Tyler Lockett ($6500),DK Metcalf ($5800),Mark Andrews ($6000),Lions ($2700),Marquise Brown ($5100),135.9
Matthew Stafford ($6200),Alvin Kamara ($7200),Chris Carson ($6200),Michael Thomas ($9000),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Robert Tonyan ($2500),Dolphins ($2000),Marquise Brown ($5100),135.9
Carson Wentz ($6300),Miles Sanders ($6300),Antonio Gibson ($4000),Calvin Ridley ($6100),DeVante Parker ($6000),DK Metcalf ($5800),George Kittle ($7200),Lions ($2700),Terry McLaurin ($5600),135.9
Matt Ryan ($6700),Miles Sanders ($6300),Tarik Cohen ($4900),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Mark Andrews ($6000),Dolphins ($2000),T.Y. Hilton ($5800),135.9
Russell Wilson ($7000),Alvin Kamara ($7200),Joe Mixon ($6700),Julio Jones ($7700),Calvin Ridley ($6100),Terry McLaurin ($5600),Jack Doyle ($3600),Lions ($2700),Dontrelle Inman ($3400),135.9
Tom Brady ($6500),Alvin Kamara ($7200),Tarik Cohen ($4900),Michael Thomas ($9000),Calvin Ridley ($6100),DeSean Jackson ($4900),Ian Thomas ($3400),Patriots ($3200),Robby Anderson ($4700),135.9
Russell Wilson ($7000),Todd Gurley II ($6100),Antonio Gibson ($4000),Davante Adams ($7300),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Zach Ertz ($5800),Ravens ($3100),DeSean Jackson ($4900),135.9
Kirk Cousins ($5700),Chris Carson ($6200),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),DK Metcalf ($5800),Mark Andrews ($6000),Patriots ($3200),Chris Thompson ($3000),135.8
Tom Brady ($6500),Miles Sanders ($6300),Todd Gurley II ($6100),Michael Thomas ($9000),Davante Adams ($7300),DeSean Jackson ($4900),Dallas Goedert ($4100),Jaguars ($2300),Dontrelle Inman ($3400),135.8
Tom Brady ($6500),Alvin Kamara ($7200),Tarik Cohen ($4900),Mike Evans ($6900),Terry McLaurin ($5600),Marquise Brown ($5100),George Kittle ($7200),Jets ($2100),Larry Fitzgerald ($4500),135.8
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Davante Adams ($7300),Calvin Ridley ($6100),Tyler Eifert ($3300),Ravens ($3100),Chris Thompson ($3000),135.8
Lamar Jackson ($8100),Josh Jacobs ($6800),Antonio Gibson ($4000),Julio Jones ($7700),Chris Godwin ($7100),DK Metcalf ($5800),Logan Thomas ($2800),Cardinals ($2100),Terry McLaurin ($5600),135.8
Matt Ryan ($6700),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),Tyler Lockett ($6500),Marquise Brown ($5100),Hayden Hurst ($4300),Patriots ($3200),Parris Campbell ($3900),135.8
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Julio Jones ($7700),Mike Evans ($6900),Calvin Ridley ($6100),Chris Herndon ($3300),Cardinals ($2100),Parris Campbell ($3900),135.7
Drew Brees ($6800),Alvin Kamara ($7200),Josh Jacobs ($6800),Kenny Golladay ($6200),Julian Edelman ($6000),Preston Williams ($4500),Mark Andrews ($6000),Jets ($2100),N'Keal Harry ($4400),135.7
Drew Brees ($6800),Todd Gurley II ($6100),Antonio Gibson ($4000),Julio Jones ($7700),Davante Adams ($7300),Adam Thielen ($6700),Irv Smith Jr. ($3100),Raiders ($2600),Terry McLaurin ($5600),135.7
Tyrod Taylor ($5600),Dalvin Cook ($7900),Tevin Coleman ($4200),Julio Jones ($7700),Adam Thielen ($6700),DeSean Jackson ($4900),Zach Ertz ($5800),Patriots ($3200),Antonio Gibson ($4000),135.7
Cam Newton ($6100),Christian McCaffrey ($10000),Joe Mixon ($6700),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Marquise Brown ($5100),Ian Thomas ($3400),Jaguars ($2300),Robby Anderson ($4700),135.7
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Joe Mixon ($6700),A.J. Green ($5700),Terry McLaurin ($5600),Marquise Brown ($5100),Mark Andrews ($6000),Falcons ($2300),Chris Thompson ($3000),135.7
Lamar Jackson ($8100),Alvin Kamara ($7200),Antonio Gibson ($4000),Chris Godwin ($7100),Mike Evans ($6900),T.Y. Hilton ($5800),Jack Doyle ($3600),Chargers ($2800),N'Keal Harry ($4400),135.6
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Antonio Gibson ($4000),Davante Adams ($7300),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Patriots ($3200),Allen Lazard ($4900),135.6
Matt Ryan ($6700),Dalvin Cook ($7900),Tarik Cohen ($4900),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Zach Ertz ($5800),Jets ($2100),Allen Lazard ($4900),135.6
Cam Newton ($6100),Christian McCaffrey ($10000),Miles Sanders ($6300),Julian Edelman ($6000),DK Metcalf ($5800),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Lions ($2700),Preston Williams ($4500),135.6
Cam Newton ($6100),Dalvin Cook ($7900),Alvin Kamara ($7200),Chris Godwin ($7100),Marquise Brown ($5100),Damiere Byrd ($3200),Mike Gesicki ($4500),Chargers ($2800),Todd Gurley II ($6100),135.6
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Dalvin Cook ($7900),Adam Thielen ($6700),Kenny Golladay ($6200),Dontrelle Inman ($3400),Dallas Goedert ($4100),Saints ($2400),Chris Thompson ($3000),135.5
Matt Ryan ($6700),Alvin Kamara ($7200),Josh Jacobs ($6800),Davante Adams ($7300),Adam Thielen ($6700),Tyler Lockett ($6500),Robert Tonyan ($2500),Colts ($3000),Chris Thompson ($3000),135.5
Cam Newton ($6100),Joe Mixon ($6700),Matt Breida ($5000),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Mike Gesicki ($4500),Falcons ($2300),Terry McLaurin ($5600),135.5
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Tarik Cohen ($4900),Kenny Golladay ($6200),Calvin Ridley ($6100),DeSean Jackson ($4900),Zach Ertz ($5800),Dolphins ($2000),Steven Sims Jr. ($4700),135.5
Tom Brady ($6500),Dalvin Cook ($7900),Tevin Coleman ($4200),Michael Thomas ($9000),Mike Evans ($6900),T.Y. Hilton ($5800),Logan Thomas ($2800),Dolphins ($2000),DeSean Jackson ($4900),135.5
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Dalvin Cook ($7900),DJ Moore ($6600),Marquise Brown ($5100),DeSean Jackson ($4900),Irv Smith Jr. ($3100),Dolphins ($2000),Curtis Samuel ($4600),135.5
Lamar Jackson ($8100),Christian McCaffrey ($10000),Ryan Nall ($4000),Adam Thielen ($6700),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Robert Tonyan ($2500),Jets ($2100),Allen Lazard ($4900),135.5
Matthew Stafford ($6200),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Logan Thomas ($2800),Raiders ($2600),Cordarrelle Patterson ($3400),135.5
Drew Brees ($6800),Alvin Kamara ($7200),Tarik Cohen ($4900),Michael Thomas ($9000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Dallas Goedert ($4100),Vikings ($2500),Dontrelle Inman ($3400),135.4
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Tevin Coleman ($4200),Michael Thomas ($9000),Mike Evans ($6900),Kenny Golladay ($6200),Irv Smith Jr. ($3100),Seahawks ($2400),Terry McLaurin ($5600),135.4
Lamar Jackson ($8100),Austin Ekeler ($7000),Antonio Gibson ($4000),T.Y. Hilton ($5800),Terry McLaurin ($5600),Christian Kirk ($5000),George Kittle ($7200),Saints ($2400),DeSean Jackson ($4900),135.4
Lamar Jackson ($8100),Christian McCaffrey ($10000),Tevin Coleman ($4200),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Christian Kirk ($5000),Mark Andrews ($6000),WAS Football Team ($2000),Chris Thompson ($3000),135.4
Drew Brees ($6800),Christian McCaffrey ($10000),Miles Sanders ($6300),Calvin Ridley ($6100),DeSean Jackson ($4900),Robby Anderson ($4700),Dallas Goedert ($4100),Ravens ($3100),Antonio Gibson ($4000),135.4
Carson Wentz ($6300),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Michael Thomas ($9000),Marquise Brown ($5100),DeSean Jackson ($4900),Chris Herndon ($3300),Colts ($3000),Dontrelle Inman ($3400),135.4
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Miles Sanders ($6300),Adam Thielen ($6700),Terry McLaurin ($5600),Curtis Samuel ($4600),Mark Andrews ($6000),Seahawks ($2400),Dontrelle Inman ($3400),135.4
Tom Brady ($6500),Christian McCaffrey ($10000),Dalvin Cook ($7900),T.Y. Hilton ($5800),Marquise Brown ($5100),Bryan Edwards ($4200),Ian Thomas ($3400),Jets ($2100),J.K. Dobbins ($5000),135.4
Dwayne Haskins Jr. ($5000),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),DK Metcalf ($5800),Marquise Brown ($5100),Zach Ertz ($5800),Saints ($2400),Antonio Gibson ($4000),135.4
Matt Ryan ($6700),Ryan Nall ($4000),Antonio Gibson ($4000),Michael Thomas ($9000),Calvin Ridley ($6100),Terry McLaurin ($5600),Mark Andrews ($6000),Bills ($3700),DeSean Jackson ($4900),135.3
Lamar Jackson ($8100),Dalvin Cook ($7900),Boston Scott ($4800),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Irv Smith Jr. ($3100),Lions ($2700),DeSean Jackson ($4900),135.3
Carson Wentz ($6300),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Mike Evans ($6900),Marquise Brown ($5100),Logan Thomas ($2800),Lions ($2700),Damiere Byrd ($3200),135.3
Tom Brady ($6500),Josh Jacobs ($6800),Antonio Gibson ($4000),Mike Evans ($6900),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),Zach Ertz ($5800),Dolphins ($2000),Terry McLaurin ($5600),135.3
Lamar Jackson ($8100),Alvin Kamara ($7200),Josh Jacobs ($6800),DJ Moore ($6600),Terry McLaurin ($5600),Henry Ruggs III ($5100),Ian Thomas ($3400),Jaguars ($2300),DeSean Jackson ($4900),135.3
Lamar Jackson ($8100),Chris Carson ($6200),Todd Gurley II ($6100),Michael Thomas ($9000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),WAS Football Team ($2000),Parris Campbell ($3900),135.3
Tyrod Taylor ($5600),Joe Mixon ($6700),Miles Sanders ($6300),Tyler Lockett ($6500),Calvin Ridley ($6100),T.Y. Hilton ($5800),Hayden Hurst ($4300),Patriots ($3200),Marvin Jones Jr. ($5500),135.3
Mitchell Trubisky ($5400),Miles Sanders ($6300),J.K. Dobbins ($5000),Davante Adams ($7300),Kenny Golladay ($6200),Jarvis Landry ($5900),Mark Andrews ($6000),Jets ($2100),T.Y. Hilton ($5800),135.3
Drew Brees ($6800),Ronald Jones II ($5200),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),T.Y. Hilton ($5800),Mark Andrews ($6000),Dolphins ($2000),Parris Campbell ($3900),135.3
Matt Ryan ($6700),Josh Jacobs ($6800),Chris Carson ($6200),Julio Jones ($7700),Calvin Ridley ($6100),Marquise Brown ($5100),Mark Andrews ($6000),Dolphins ($2000),Dontrelle Inman ($3400),135.2
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),T.Y. Hilton ($5800),Robby Anderson ($4700),Robert Tonyan ($2500),Seahawks ($2400),N'Keal Harry ($4400),135.2
Josh Allen ($6500),Christian McCaffrey ($10000),Todd Gurley II ($6100),Kenny Golladay ($6200),T.Y. Hilton ($5800),Curtis Samuel ($4600),Chris Herndon ($3300),Patriots ($3200),Bryan Edwards ($4200),135.2
Tom Brady ($6500),Josh Jacobs ($6800),Ronald Jones II ($5200),Mike Evans ($6900),Adam Thielen ($6700),DK Metcalf ($5800),Irv Smith Jr. ($3100),Patriots ($3200),T.Y. Hilton ($5800),135.2
Aaron Rodgers ($6300),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Davante Adams ($7300),Allen Lazard ($4900),Irv Smith Jr. ($3100),Dolphins ($2000),Dontrelle Inman ($3400),135.2
Drew Brees ($6800),Christian McCaffrey ($10000),Dalvin Cook ($7900),Christian Kirk ($5000),DeSean Jackson ($4900),Larry Fitzgerald ($4500),Zach Ertz ($5800),Jets ($2100),Chris Thompson ($3000),135.2
Kirk Cousins ($5700),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Davante Adams ($7300),Adam Thielen ($6700),Terry McLaurin ($5600),Logan Thomas ($2800),Jets ($2100),Robby Anderson ($4700),135.2
Drew Brees ($6800),Alvin Kamara ($7200),Joe Mixon ($6700),Chris Godwin ($7100),Tyler Lockett ($6500),DK Metcalf ($5800),Chris Herndon ($3300),Eagles ($3600),Chris Thompson ($3000),135.1
Cam Newton ($6100),Alvin Kamara ($7200),Chris Carson ($6200),Julio Jones ($7700),Kenny Golladay ($6200),DK Metcalf ($5800),Hayden Hurst ($4300),Cardinals ($2100),N'Keal Harry ($4400),135.1
Tom Brady ($6500),Miles Sanders ($6300),J.K. Dobbins ($5000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Mark Andrews ($6000),Raiders ($2600),Chris Thompson ($3000),135.1
Drew Brees ($6800),Alvin Kamara ($7200),Ronald Jones II ($5200),Julio Jones ($7700),Tyler Lockett ($6500),Marquise Brown ($5100),Mike Gesicki ($4500),Jets ($2100),DeSean Jackson ($4900),135.1
