QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Carson Wentz ($6300),Austin Ekeler ($7000),Joe Mixon ($6700),Mike Evans ($6900),T.Y. Hilton ($5800),Terry McLaurin ($5600),Dallas Goedert ($4100),Seahawks ($2400),Marquise Brown ($5100),135.1
Lamar Jackson ($8100),Miles Sanders ($6300),Ronald Jones II ($5200),Michael Thomas ($9000),Mike Evans ($6900),Terry McLaurin ($5600),Ian Thomas ($3400),Cardinals ($2100),Dontrelle Inman ($3400),135.1
Lamar Jackson ($8100),Alvin Kamara ($7200),Austin Ekeler ($7000),Julian Edelman ($6000),Terry McLaurin ($5600),N'Keal Harry ($4400),Zach Ertz ($5800),Raiders ($2600),Damiere Byrd ($3200),135
Cam Newton ($6100),Dalvin Cook ($7900),Josh Jacobs ($6800),Michael Thomas ($9000),Davante Adams ($7300),N'Keal Harry ($4400),Robert Tonyan ($2500),Cardinals ($2100),Parris Campbell ($3900),135
Lamar Jackson ($8100),Alvin Kamara ($7200),Josh Jacobs ($6800),Marvin Jones Jr. ($5500),Marquise Brown ($5100),Cordarrelle Patterson ($3400),Mark Andrews ($6000),Bills ($3700),Tevin Coleman ($4200),135
Cam Newton ($6100),Dalvin Cook ($7900),Kerryon Johnson ($4400),Davante Adams ($7300),Kenny Golladay ($6200),DK Metcalf ($5800),T.J. Hockenson ($4200),Raiders ($2600),Marvin Jones Jr. ($5500),135
Kirk Cousins ($5700),Austin Ekeler ($7000),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),Adam Thielen ($6700),Chris Herndon ($3300),Cardinals ($2100),DeSean Jackson ($4900),135
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Julian Edelman ($6000),DeVante Parker ($6000),Dontrelle Inman ($3400),Zach Ertz ($5800),Jaguars ($2300),Chris Thompson ($3000),134.9
Drew Brees ($6800),Miles Sanders ($6300),Tevin Coleman ($4200),Michael Thomas ($9000),Davante Adams ($7300),Chris Godwin ($7100),Irv Smith Jr. ($3100),Patriots ($3200),Chris Thompson ($3000),134.9
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Todd Gurley II ($6100),Chris Godwin ($7100),Tyler Lockett ($6500),Kenny Golladay ($6200),Mark Andrews ($6000),Dolphins ($2000),Cordarrelle Patterson ($3400),134.9
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),Chris Godwin ($7100),Mike Evans ($6900),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Jets ($2100),Allen Lazard ($4900),134.9
Drew Brees ($6800),Alvin Kamara ($7200),Miles Sanders ($6300),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Allen Lazard ($4900),Zach Ertz ($5800),Jaguars ($2300),Ronald Jones II ($5200),134.9
Matt Ryan ($6700),Miles Sanders ($6300),Antonio Gibson ($4000),Julio Jones ($7700),Kenny Golladay ($6200),DK Metcalf ($5800),Zach Ertz ($5800),Chargers ($2800),Robby Anderson ($4700),134.9
Lamar Jackson ($8100),Alvin Kamara ($7200),Kerryon Johnson ($4400),Michael Thomas ($9000),Calvin Ridley ($6100),Marquise Brown ($5100),O.J. Howard ($3700),WAS Football Team ($2000),N'Keal Harry ($4400),134.9
Lamar Jackson ($8100),Alvin Kamara ($7200),Todd Gurley II ($6100),Mike Evans ($6900),Jarvis Landry ($5900),Marquise Brown ($5100),Tyler Eifert ($3300),Vikings ($2500),DeSean Jackson ($4900),134.9
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Joe Mixon ($6700),DK Metcalf ($5800),Terry McLaurin ($5600),DeSean Jackson ($4900),Ian Thomas ($3400),Colts ($3000),Steven Sims Jr. ($4700),134.9
Tyrod Taylor ($5600),Austin Ekeler ($7000),Miles Sanders ($6300),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Saints ($2400),Marquise Brown ($5100),134.9
Matthew Stafford ($6200),Christian McCaffrey ($10000),Alvin Kamara ($7200),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Parris Campbell ($3900),Zach Ertz ($5800),Falcons ($2300),Cordarrelle Patterson ($3400),134.8
Matt Ryan ($6700),Alvin Kamara ($7200),Tarik Cohen ($4900),Julio Jones ($7700),Adam Thielen ($6700),DK Metcalf ($5800),Chris Herndon ($3300),Patriots ($3200),Kerryon Johnson ($4400),134.8
Lamar Jackson ($8100),Christian McCaffrey ($10000),Dalvin Cook ($7900),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Cordarrelle Patterson ($3400),T.J. Hockenson ($4200),Jets ($2100),Antonio Gibson ($4000),134.8
Russell Wilson ($7000),Alvin Kamara ($7200),Tevin Coleman ($4200),Julio Jones ($7700),Davante Adams ($7300),DK Metcalf ($5800),O.J. Howard ($3700),Dolphins ($2000),Marquise Brown ($5100),134.8
Matt Ryan ($6700),Alvin Kamara ($7200),J.K. Dobbins ($5000),Davante Adams ($7300),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Hayden Hurst ($4300),Dolphins ($2000),Marvin Jones Jr. ($5500),134.8
Carson Wentz ($6300),Josh Jacobs ($6800),Todd Gurley II ($6100),Chris Godwin ($7100),Mike Evans ($6900),DeSean Jackson ($4900),Zach Ertz ($5800),Jets ($2100),Parris Campbell ($3900),134.8
Jimmy Garoppolo ($5800),Tarik Cohen ($4900),Kerryon Johnson ($4400),Michael Thomas ($9000),Davante Adams ($7300),Terry McLaurin ($5600),Zach Ertz ($5800),Falcons ($2300),DeSean Jackson ($4900),134.8
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Dalvin Cook ($7900),Kenny Golladay ($6200),DK Metcalf ($5800),Marquise Brown ($5100),Robert Tonyan ($2500),Bills ($3700),Cordarrelle Patterson ($3400),134.8
Lamar Jackson ($8100),Christian McCaffrey ($10000),Tevin Coleman ($4200),Adam Thielen ($6700),DK Metcalf ($5800),Marquise Brown ($5100),Irv Smith Jr. ($3100),Chargers ($2800),Marquez Valdes-Scantling ($4100),134.7
Tom Brady ($6500),Alvin Kamara ($7200),Joe Mixon ($6700),Mike Evans ($6900),Tyler Lockett ($6500),T.Y. Hilton ($5800),Tyler Eifert ($3300),Bills ($3700),Dontrelle Inman ($3400),134.7
Jimmy Garoppolo ($5800),Miles Sanders ($6300),Todd Gurley II ($6100),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Marquise Brown ($5100),George Kittle ($7200),Chargers ($2800),J.K. Dobbins ($5000),134.7
Russell Wilson ($7000),Josh Jacobs ($6800),Tarik Cohen ($4900),Julio Jones ($7700),Davante Adams ($7300),Calvin Ridley ($6100),Irv Smith Jr. ($3100),Jets ($2100),DeSean Jackson ($4900),134.7
Lamar Jackson ($8100),Dalvin Cook ($7900),Josh Jacobs ($6800),Adam Thielen ($6700),DeVante Parker ($6000),Terry McLaurin ($5600),Irv Smith Jr. ($3100),Seahawks ($2400),Damiere Byrd ($3200),134.7
Philip Rivers ($6000),Christian McCaffrey ($10000),Josh Jacobs ($6800),Davante Adams ($7300),Terry McLaurin ($5600),Parris Campbell ($3900),Jack Doyle ($3600),Chargers ($2800),Antonio Gibson ($4000),134.7
Carson Wentz ($6300),Dalvin Cook ($7900),Antonio Gibson ($4000),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Chris Herndon ($3300),Saints ($2400),T.Y. Hilton ($5800),134.7
Lamar Jackson ($8100),Austin Ekeler ($7000),Tevin Coleman ($4200),Davante Adams ($7300),Marquise Brown ($5100),DeSean Jackson ($4900),Zach Ertz ($5800),Lions ($2700),Steven Sims Jr. ($4700),134.7
Drew Brees ($6800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Mike Evans ($6900),T.Y. Hilton ($5800),Preston Williams ($4500),Chris Herndon ($3300),Falcons ($2300),Damiere Byrd ($3200),134.7
Russell Wilson ($7000),Christian McCaffrey ($10000),Tarik Cohen ($4900),DK Metcalf ($5800),T.Y. Hilton ($5800),Terry McLaurin ($5600),Hayden Hurst ($4300),Jets ($2100),Kerryon Johnson ($4400),134.7
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Alvin Kamara ($7200),DK Metcalf ($5800),A.J. Green ($5700),Dontrelle Inman ($3400),Dallas Goedert ($4100),Jets ($2100),Joe Mixon ($6700),134.7
Carson Wentz ($6300),Dalvin Cook ($7900),Chris Carson ($6200),Adam Thielen ($6700),Tyler Lockett ($6500),Terry McLaurin ($5600),Dallas Goedert ($4100),Lions ($2700),Parris Campbell ($3900),134.7
Lamar Jackson ($8100),Alvin Kamara ($7200),Josh Jacobs ($6800),Odell Beckham Jr. ($5900),Larry Fitzgerald ($4500),N'Keal Harry ($4400),George Kittle ($7200),Lions ($2700),Chris Thompson ($3000),134.6
Josh Allen ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Davante Adams ($7300),Jamison Crowder ($5200),Christian Kirk ($5000),Chris Herndon ($3300),Seahawks ($2400),Chris Thompson ($3000),134.6
Lamar Jackson ($8100),Dalvin Cook ($7900),Josh Jacobs ($6800),Mike Evans ($6900),Marquise Brown ($5100),Allen Lazard ($4900),Chris Herndon ($3300),Dolphins ($2000),J.K. Dobbins ($5000),134.6
Lamar Jackson ($8100),Alvin Kamara ($7200),Miles Sanders ($6300),DeVante Parker ($6000),Marquise Brown ($5100),Preston Williams ($4500),George Kittle ($7200),Jaguars ($2300),Damiere Byrd ($3200),134.6
Cam Newton ($6100),Christian McCaffrey ($10000),Todd Gurley II ($6100),Davante Adams ($7300),Calvin Ridley ($6100),Robby Anderson ($4700),Irv Smith Jr. ($3100),WAS Football Team ($2000),Curtis Samuel ($4600),134.6
Tom Brady ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),Calvin Ridley ($6100),DK Metcalf ($5800),Preston Williams ($4500),Hayden Hurst ($4300),WAS Football Team ($2000),Joe Mixon ($6700),134.6
Tyrod Taylor ($5600),Austin Ekeler ($7000),Josh Jacobs ($6800),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Logan Thomas ($2800),Seahawks ($2400),DeSean Jackson ($4900),134.6
Tom Brady ($6500),Josh Jacobs ($6800),Mark Ingram II ($5500),Adam Thielen ($6700),Jarvis Landry ($5900),Terry McLaurin ($5600),Mark Andrews ($6000),Jets ($2100),DeSean Jackson ($4900),134.6
Matt Ryan ($6700),Miles Sanders ($6300),Ronald Jones II ($5200),Michael Thomas ($9000),Chris Godwin ($7100),Marquise Brown ($5100),Logan Thomas ($2800),Chargers ($2800),DeSean Jackson ($4900),134.6
Carson Wentz ($6300),Alvin Kamara ($7200),Chris Carson ($6200),Chris Godwin ($7100),T.Y. Hilton ($5800),Terry McLaurin ($5600),Ian Thomas ($3400),Bills ($3700),Steven Sims Jr. ($4700),134.6
Matt Ryan ($6700),Dalvin Cook ($7900),Antonio Gibson ($4000),Adam Thielen ($6700),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),George Kittle ($7200),Colts ($3000),Dontrelle Inman ($3400),134.6
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Adam Thielen ($6700),Tyler Lockett ($6500),DK Metcalf ($5800),O.J. Howard ($3700),Lions ($2700),Curtis Samuel ($4600),134.6
Carson Wentz ($6300),Alvin Kamara ($7200),Ronald Jones II ($5200),Davante Adams ($7300),Chris Godwin ($7100),Marquise Brown ($5100),Dallas Goedert ($4100),Raiders ($2600),Tarik Cohen ($4900),134.6
Drew Brees ($6800),Austin Ekeler ($7000),Ryan Nall ($4000),Mike Evans ($6900),DK Metcalf ($5800),Terry McLaurin ($5600),Zach Ertz ($5800),Patriots ($3200),DeSean Jackson ($4900),134.5
Philip Rivers ($6000),Alvin Kamara ($7200),Tevin Coleman ($4200),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Mark Andrews ($6000),Chargers ($2800),Chris Conley ($4000),134.5
Lamar Jackson ($8100),Christian McCaffrey ($10000),Josh Jacobs ($6800),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Chris Conley ($4000),Mo Alie-Cox ($2600),Dolphins ($2000),Parris Campbell ($3900),134.5
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Austin Ekeler ($7000),Davante Adams ($7300),Adam Thielen ($6700),Marquise Brown ($5100),Mo Alie-Cox ($2600),Bills ($3700),Parris Campbell ($3900),134.5
Cam Newton ($6100),Christian McCaffrey ($10000),Austin Ekeler ($7000),Calvin Ridley ($6100),Preston Williams ($4500),Chris Thompson ($3000),Mike Gesicki ($4500),Jets ($2100),Joe Mixon ($6700),134.5
Tom Brady ($6500),Alvin Kamara ($7200),Ryan Nall ($4000),Chris Godwin ($7100),Tyler Lockett ($6500),Calvin Ridley ($6100),T.J. Hockenson ($4200),Chargers ($2800),Terry McLaurin ($5600),134.5
Tyrod Taylor ($5600),Alvin Kamara ($7200),Austin Ekeler ($7000),Davante Adams ($7300),Mike Evans ($6900),T.Y. Hilton ($5800),Robert Tonyan ($2500),Dolphins ($2000),A.J. Green ($5700),134.5
Matthew Stafford ($6200),Dalvin Cook ($7900),Todd Gurley II ($6100),Allen Robinson II ($6500),Kenny Golladay ($6200),Marquise Brown ($5100),Mark Andrews ($6000),Raiders ($2600),Dontrelle Inman ($3400),134.5
Drew Brees ($6800),Dalvin Cook ($7900),Alvin Kamara ($7200),Julio Jones ($7700),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Chris Herndon ($3300),WAS Football Team ($2000),Cordarrelle Patterson ($3400),134.5
Jimmy Garoppolo ($5800),Joe Mixon ($6700),Mark Ingram II ($5500),Mike Evans ($6900),Calvin Ridley ($6100),DK Metcalf ($5800),Mark Andrews ($6000),Jets ($2100),Marquise Brown ($5100),134.4
Matt Ryan ($6700),Austin Ekeler ($7000),Chris Carson ($6200),Calvin Ridley ($6100),DK Metcalf ($5800),T.Y. Hilton ($5800),Jack Doyle ($3600),Ravens ($3100),Terry McLaurin ($5600),134.4
Cam Newton ($6100),Miles Sanders ($6300),James White ($6000),Davante Adams ($7300),Kenny Golladay ($6200),Julian Edelman ($6000),Dallas Goedert ($4100),Seahawks ($2400),Terry McLaurin ($5600),134.4
Drew Brees ($6800),Alvin Kamara ($7200),Mark Ingram II ($5500),Kenny Golladay ($6200),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Jack Doyle ($3600),Eagles ($3600),Marquise Brown ($5100),134.4
Cam Newton ($6100),Austin Ekeler ($7000),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),Kenny Golladay ($6200),Robert Tonyan ($2500),Eagles ($3600),Preston Williams ($4500),134.4
Josh Allen ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Michael Thomas ($9000),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Logan Thomas ($2800),Colts ($3000),Chris Thompson ($3000),134.4
Lamar Jackson ($8100),Chris Carson ($6200),Todd Gurley II ($6100),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Cardinals ($2100),N'Keal Harry ($4400),134.4
Lamar Jackson ($8100),Austin Ekeler ($7000),Joe Mixon ($6700),Tyler Lockett ($6500),Marquise Brown ($5100),Robby Anderson ($4700),Mark Andrews ($6000),Dolphins ($2000),Parris Campbell ($3900),134.4
Lamar Jackson ($8100),Joe Mixon ($6700),Todd Gurley II ($6100),Adam Thielen ($6700),Allen Robinson II ($6500),Kenny Golladay ($6200),Irv Smith Jr. ($3100),Patriots ($3200),Cordarrelle Patterson ($3400),134.4
Matthew Stafford ($6200),Christian McCaffrey ($10000),Todd Gurley II ($6100),Calvin Ridley ($6100),DK Metcalf ($5800),DeSean Jackson ($4900),T.J. Hockenson ($4200),Patriots ($3200),Cordarrelle Patterson ($3400),134.4
Lamar Jackson ($8100),Dalvin Cook ($7900),Matt Breida ($5000),Davante Adams ($7300),DeVante Parker ($6000),T.Y. Hilton ($5800),Chris Herndon ($3300),Cardinals ($2100),Preston Williams ($4500),134.4
Matt Ryan ($6700),Alvin Kamara ($7200),Josh Jacobs ($6800),DeVante Parker ($6000),DK Metcalf ($5800),T.Y. Hilton ($5800),Mike Gesicki ($4500),Jets ($2100),Matt Breida ($5000),134.3
Lamar Jackson ($8100),Christian McCaffrey ($10000),Alvin Kamara ($7200),DK Metcalf ($5800),Henry Ruggs III ($5100),Curtis Samuel ($4600),Tyler Eifert ($3300),WAS Football Team ($2000),Parris Campbell ($3900),134.3
Josh Allen ($6500),Joe Mixon ($6700),Kerryon Johnson ($4400),Julio Jones ($7700),Calvin Ridley ($6100),DK Metcalf ($5800),Zach Ertz ($5800),Cardinals ($2100),DeSean Jackson ($4900),134.3
Russell Wilson ($7000),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),Robert Tonyan ($2500),Jets ($2100),Preston Williams ($4500),134.3
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Marvin Jones Jr. ($5500),Anthony Miller ($5000),Dallas Goedert ($4100),Jets ($2100),DeSean Jackson ($4900),134.3
Cam Newton ($6100),Christian McCaffrey ($10000),Josh Jacobs ($6800),DK Metcalf ($5800),DeSean Jackson ($4900),Curtis Samuel ($4600),Mike Gesicki ($4500),Chargers ($2800),N'Keal Harry ($4400),134.3
Philip Rivers ($6000),Christian McCaffrey ($10000),Miles Sanders ($6300),Tyler Lockett ($6500),T.Y. Hilton ($5800),Marquise Brown ($5100),Jack Doyle ($3600),Cardinals ($2100),Curtis Samuel ($4600),134.3
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Chris Carson ($6200),Davante Adams ($7300),Mike Evans ($6900),Adam Thielen ($6700),Irv Smith Jr. ($3100),Jaguars ($2300),N'Keal Harry ($4400),134.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Tevin Coleman ($4200),Davante Adams ($7300),DK Metcalf ($5800),DeSean Jackson ($4900),Dallas Goedert ($4100),Saints ($2400),Allen Lazard ($4900),134.3
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Alvin Kamara ($7200),Odell Beckham Jr. ($5900),Marquise Brown ($5100),N'Keal Harry ($4400),Mike Gesicki ($4500),Jaguars ($2300),J.K. Dobbins ($5000),134.2
Carson Wentz ($6300),Miles Sanders ($6300),Todd Gurley II ($6100),DJ Moore ($6600),Marquise Brown ($5100),DeSean Jackson ($4900),Mark Andrews ($6000),Patriots ($3200),Mark Ingram II ($5500),134.2
Cam Newton ($6100),Dalvin Cook ($7900),Todd Gurley II ($6100),Adam Thielen ($6700),Julian Edelman ($6000),Marvin Jones Jr. ($5500),Irv Smith Jr. ($3100),Bills ($3700),DeSean Jackson ($4900),134.2
Josh Allen ($6500),Alvin Kamara ($7200),J.K. Dobbins ($5000),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Mark Andrews ($6000),WAS Football Team ($2000),Chris Thompson ($3000),134.2
Tom Brady ($6500),Joe Mixon ($6700),Miles Sanders ($6300),Chris Godwin ($7100),Julian Edelman ($6000),DeSean Jackson ($4900),Zach Ertz ($5800),Raiders ($2600),Antonio Gibson ($4000),134.2
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),J.K. Dobbins ($5000),Adam Thielen ($6700),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Eagles ($3600),DK Metcalf ($5800),134.2
Kirk Cousins ($5700),Dalvin Cook ($7900),Joe Mixon ($6700),Michael Thomas ($9000),Mike Evans ($6900),Marquise Brown ($5100),Robert Tonyan ($2500),Patriots ($3200),Chris Thompson ($3000),134.2
Drew Brees ($6800),Alvin Kamara ($7200),Tevin Coleman ($4200),Michael Thomas ($9000),Adam Thielen ($6700),DK Metcalf ($5800),Ian Thomas ($3400),WAS Football Team ($2000),Allen Lazard ($4900),134.2
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Todd Gurley II ($6100),Mike Evans ($6900),T.Y. Hilton ($5800),Christian Kirk ($5000),Mark Andrews ($6000),Lions ($2700),Larry Fitzgerald ($4500),134.1
Philip Rivers ($6000),Christian McCaffrey ($10000),Mark Ingram II ($5500),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Seahawks ($2400),Terry McLaurin ($5600),134.1
Lamar Jackson ($8100),J.K. Dobbins ($5000),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),DeVante Parker ($6000),Logan Thomas ($2800),Raiders ($2600),Marquise Brown ($5100),134.1
Matt Ryan ($6700),Miles Sanders ($6300),Chris Carson ($6200),Davante Adams ($7300),Adam Thielen ($6700),Calvin Ridley ($6100),Ian Thomas ($3400),Saints ($2400),Allen Lazard ($4900),134.1
Tom Brady ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),DJ Moore ($6600),Marquise Brown ($5100),Hunter Renfrow ($4500),Chris Herndon ($3300),Chargers ($2800),Antonio Gibson ($4000),134.1
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Miles Sanders ($6300),Chris Godwin ($7100),T.Y. Hilton ($5800),Henry Ruggs III ($5100),Tyler Eifert ($3300),Jets ($2100),Robby Anderson ($4700),134.1
Tyrod Taylor ($5600),Austin Ekeler ($7000),Todd Gurley II ($6100),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Tyler Eifert ($3300),Jets ($2100),Terry McLaurin ($5600),134.1
Cam Newton ($6100),Alvin Kamara ($7200),Matt Breida ($5000),Adam Thielen ($6700),Allen Robinson II ($6500),Kenny Golladay ($6200),T.J. Hockenson ($4200),Colts ($3000),Marquise Brown ($5100),134.1
Gardner Minshew II ($5800),Alvin Kamara ($7200),Todd Gurley II ($6100),Julio Jones ($7700),T.Y. Hilton ($5800),Parris Campbell ($3900),Zach Ertz ($5800),Bills ($3700),Antonio Gibson ($4000),134.1
Carson Wentz ($6300),Dalvin Cook ($7900),Todd Gurley II ($6100),Michael Thomas ($9000),Adam Thielen ($6700),N'Keal Harry ($4400),Logan Thomas ($2800),Chargers ($2800),Antonio Gibson ($4000),134.1
Tom Brady ($6500),Dalvin Cook ($7900),Ryan Nall ($4000),Davante Adams ($7300),Chris Godwin ($7100),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Seahawks ($2400),T.Y. Hilton ($5800),134.1
Aaron Rodgers ($6300),Alvin Kamara ($7200),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),Julian Edelman ($6000),Jack Doyle ($3600),Cardinals ($2100),Preston Williams ($4500),134
