QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Tyrod Taylor ($5600),Dalvin Cook ($7900),Alvin Kamara ($7200),Michael Thomas ($9000),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),Mo Alie-Cox ($2600),Seahawks ($2400),Chris Conley ($4000),134
Kirk Cousins ($5700),Dalvin Cook ($7900),Matt Breida ($5000),Adam Thielen ($6700),DK Metcalf ($5800),T.Y. Hilton ($5800),Zach Ertz ($5800),Lions ($2700),N'Keal Harry ($4400),134
Josh Allen ($6500),Josh Jacobs ($6800),Joe Mixon ($6700),Allen Robinson II ($6500),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Chris Herndon ($3300),Dolphins ($2000),Miles Sanders ($6300),134
Lamar Jackson ($8100),Dalvin Cook ($7900),Chris Thompson ($4000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Ian Thomas ($3400),Lions ($2700),Parris Campbell ($3900),134
Josh Allen ($6500),Christian McCaffrey ($10000),Miles Sanders ($6300),Terry McLaurin ($5600),Jamison Crowder ($5200),Marquise Brown ($5100),Ian Thomas ($3400),Chargers ($2800),Henry Ruggs III ($5100),134
Cam Newton ($6100),Todd Gurley II ($6100),Matt Breida ($5000),Michael Thomas ($9000),T.Y. Hilton ($5800),DeSean Jackson ($4900),Zach Ertz ($5800),Raiders ($2600),Steven Sims Jr. ($4700),134
Tyrod Taylor ($5600),Dalvin Cook ($7900),Josh Jacobs ($6800),Adam Thielen ($6700),DK Metcalf ($5800),Christian Kirk ($5000),George Kittle ($7200),WAS Football Team ($2000),Chris Thompson ($3000),134
Russell Wilson ($7000),Miles Sanders ($6300),Mark Ingram II ($5500),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Zach Ertz ($5800),Dolphins ($2000),Dontrelle Inman ($3400),134
Kirk Cousins ($5700),Dalvin Cook ($7900),Tarik Cohen ($4900),Davante Adams ($7300),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Dallas Goedert ($4100),Saints ($2400),Terry McLaurin ($5600),134
Lamar Jackson ($8100),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),Robby Anderson ($4700),Curtis Samuel ($4600),Ian Thomas ($3400),Bills ($3700),Antonio Gibson ($4000),133.9
Philip Rivers ($6000),Christian McCaffrey ($10000),Tarik Cohen ($4900),Adam Thielen ($6700),Calvin Ridley ($6100),T.Y. Hilton ($5800),Tyler Eifert ($3300),Patriots ($3200),Ryan Nall ($4000),133.9
Lamar Jackson ($8100),Christian McCaffrey ($10000),Joe Mixon ($6700),Julian Edelman ($6000),Marquise Brown ($5100),N'Keal Harry ($4400),Mo Alie-Cox ($2600),Jets ($2100),Matt Breida ($5000),133.9
Drew Brees ($6800),Christian McCaffrey ($10000),Chris Carson ($6200),Tyler Lockett ($6500),Terry McLaurin ($5600),DeSean Jackson ($4900),Hayden Hurst ($4300),Jaguars ($2300),Dontrelle Inman ($3400),133.9
Lamar Jackson ($8100),Dalvin Cook ($7900),Tevin Coleman ($4200),Davante Adams ($7300),Adam Thielen ($6700),Marvin Jones Jr. ($5500),Tyler Eifert ($3300),Dolphins ($2000),Anthony Miller ($5000),133.9
Matt Ryan ($6700),Josh Jacobs ($6800),Ronald Jones II ($5200),Chris Godwin ($7100),Tyler Lockett ($6500),Kenny Golladay ($6200),Chris Herndon ($3300),Cardinals ($2100),Calvin Ridley ($6100),133.9
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Joe Mixon ($6700),DeSean Jackson ($4900),Preston Williams ($4500),Dontrelle Inman ($3400),George Kittle ($7200),Bills ($3700),Antonio Gibson ($4000),133.8
Russell Wilson ($7000),Miles Sanders ($6300),Kerryon Johnson ($4400),Julio Jones ($7700),Kenny Golladay ($6200),Calvin Ridley ($6100),Tyler Eifert ($3300),Ravens ($3100),T.Y. Hilton ($5800),133.8
Gardner Minshew II ($5800),Christian McCaffrey ($10000),Chris Carson ($6200),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),DeSean Jackson ($4900),Jack Doyle ($3600),Dolphins ($2000),Todd Gurley II ($6100),133.8
Tom Brady ($6500),Alvin Kamara ($7200),Joe Mixon ($6700),Michael Thomas ($9000),Davante Adams ($7300),Christian Kirk ($5000),Robert Tonyan ($2500),Raiders ($2600),Damiere Byrd ($3200),133.8
Matt Ryan ($6700),Dalvin Cook ($7900),Alvin Kamara ($7200),Mike Evans ($6900),DK Metcalf ($5800),N'Keal Harry ($4400),Tyler Eifert ($3300),Raiders ($2600),Ronald Jones II ($5200),133.8
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Adam Thielen ($6700),Larry Fitzgerald ($4500),Robert Tonyan ($2500),Patriots ($3200),Ronald Jones II ($5200),133.8
Russell Wilson ($7000),Dalvin Cook ($7900),Austin Ekeler ($7000),Adam Thielen ($6700),Calvin Ridley ($6100),DeSean Jackson ($4900),Hayden Hurst ($4300),Ravens ($3100),Chris Thompson ($3000),133.8
Russell Wilson ($7000),Alvin Kamara ($7200),Josh Jacobs ($6800),Tyler Lockett ($6500),DeSean Jackson ($4900),Steven Sims Jr. ($4700),Mark Andrews ($6000),Chargers ($2800),Antonio Gibson ($4000),133.8
Tyrod Taylor ($5600),Joe Mixon ($6700),Todd Gurley II ($6100),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Zach Ertz ($5800),Lions ($2700),Marquise Brown ($5100),133.8
Cam Newton ($6100),Christian McCaffrey ($10000),Dalvin Cook ($7900),DJ Moore ($6600),Terry McLaurin ($5600),Chris Thompson ($3000),Ian Thomas ($3400),Seahawks ($2400),Matt Breida ($5000),133.8
Aaron Rodgers ($6300),Dalvin Cook ($7900),Kerryon Johnson ($4400),Julio Jones ($7700),Adam Thielen ($6700),Terry McLaurin ($5600),Hayden Hurst ($4300),Dolphins ($2000),Marquise Brown ($5100),133.8
Lamar Jackson ($8100),Christian McCaffrey ($10000),Chris Carson ($6200),Terry McLaurin ($5600),Robby Anderson ($4700),Bryan Edwards ($4200),Zach Ertz ($5800),Saints ($2400),Chris Thompson ($3000),133.8
Matthew Stafford ($6200),Austin Ekeler ($7000),Miles Sanders ($6300),Julio Jones ($7700),Kenny Golladay ($6200),Terry McLaurin ($5600),T.J. Hockenson ($4200),Patriots ($3200),Dontrelle Inman ($3400),133.8
Lamar Jackson ($8100),Miles Sanders ($6300),Kerryon Johnson ($4400),Jarvis Landry ($5900),DK Metcalf ($5800),Terry McLaurin ($5600),Mark Andrews ($6000),Patriots ($3200),Steven Sims Jr. ($4700),133.8
Tom Brady ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),Mike Evans ($6900),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Ian Thomas ($3400),Ravens ($3100),Kerryon Johnson ($4400),133.8
Josh Allen ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Julian Edelman ($6000),DeSean Jackson ($4900),Mike Gesicki ($4500),Seahawks ($2400),Damiere Byrd ($3200),133.8
Lamar Jackson ($8100),Ronald Jones II ($5200),J.K. Dobbins ($5000),Adam Thielen ($6700),Calvin Ridley ($6100),Marquise Brown ($5100),George Kittle ($7200),Eagles ($3600),Chris Thompson ($3000),133.8
Lamar Jackson ($8100),Alvin Kamara ($7200),Tarik Cohen ($4900),Chris Godwin ($7100),Kenny Golladay ($6200),Anthony Miller ($5000),T.J. Hockenson ($4200),Falcons ($2300),DeSean Jackson ($4900),133.7
Matt Ryan ($6700),Dalvin Cook ($7900),Alvin Kamara ($7200),Calvin Ridley ($6100),Steven Sims Jr. ($4700),Larry Fitzgerald ($4500),Zach Ertz ($5800),Ravens ($3100),Antonio Gibson ($4000),133.7
Kirk Cousins ($5700),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Chris Godwin ($7100),Robby Anderson ($4700),Chris Herndon ($3300),Falcons ($2300),N'Keal Harry ($4400),133.7
Josh Allen ($6500),Dalvin Cook ($7900),Antonio Gibson ($4000),Michael Thomas ($9000),Mike Evans ($6900),Parris Campbell ($3900),Zach Ertz ($5800),Raiders ($2600),Dontrelle Inman ($3400),133.7
Tyrod Taylor ($5600),Dalvin Cook ($7900),Alvin Kamara ($7200),DJ Moore ($6600),DK Metcalf ($5800),Robby Anderson ($4700),Ian Thomas ($3400),Cardinals ($2100),Joe Mixon ($6700),133.7
Kirk Cousins ($5700),Joe Mixon ($6700),Chris Carson ($6200),Davante Adams ($7300),Tyler Lockett ($6500),DeSean Jackson ($4900),Zach Ertz ($5800),Dolphins ($2000),Allen Lazard ($4900),133.7
Drew Brees ($6800),Joe Mixon ($6700),Ronald Jones II ($5200),Michael Thomas ($9000),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Irv Smith Jr. ($3100),Raiders ($2600),DeSean Jackson ($4900),133.7
Carson Wentz ($6300),Joe Mixon ($6700),Todd Gurley II ($6100),Tyler Lockett ($6500),Terry McLaurin ($5600),Christian Kirk ($5000),George Kittle ($7200),Patriots ($3200),Dontrelle Inman ($3400),133.7
Lamar Jackson ($8100),Mark Ingram II ($5500),Marlon Mack ($5300),Davante Adams ($7300),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),T.J. Hockenson ($4200),Patriots ($3200),Marquise Brown ($5100),133.7
Carson Wentz ($6300),Christian McCaffrey ($10000),Dalvin Cook ($7900),Julian Edelman ($6000),DK Metcalf ($5800),Terry McLaurin ($5600),Logan Thomas ($2800),Jaguars ($2300),Damiere Byrd ($3200),133.7
Matt Ryan ($6700),Christian McCaffrey ($10000),Miles Sanders ($6300),Tyler Lockett ($6500),Calvin Ridley ($6100),Preston Williams ($4500),Irv Smith Jr. ($3100),Jaguars ($2300),N'Keal Harry ($4400),133.7
Carson Wentz ($6300),Dalvin Cook ($7900),Josh Jacobs ($6800),Davante Adams ($7300),Tyler Lockett ($6500),Marvin Jones Jr. ($5500),Irv Smith Jr. ($3100),Patriots ($3200),Cordarrelle Patterson ($3400),133.7
Tom Brady ($6500),Alvin Kamara ($7200),Marlon Mack ($5300),Davante Adams ($7300),Mike Evans ($6900),Steven Sims Jr. ($4700),Zach Ertz ($5800),Patriots ($3200),Chris Thompson ($3000),133.6
Russell Wilson ($7000),Chris Carson ($6200),Mark Ingram II ($5500),Julio Jones ($7700),T.Y. Hilton ($5800),Terry McLaurin ($5600),Dallas Goedert ($4100),Patriots ($3200),DeSean Jackson ($4900),133.6
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Allen Robinson II ($6500),Kenny Golladay ($6200),N'Keal Harry ($4400),Logan Thomas ($2800),Ravens ($3100),Cordarrelle Patterson ($3400),133.6
Cam Newton ($6100),Dalvin Cook ($7900),Matt Breida ($5000),Kenny Golladay ($6200),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Mark Andrews ($6000),Jaguars ($2300),Preston Williams ($4500),133.6
Aaron Rodgers ($6300),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),Kenny Golladay ($6200),N'Keal Harry ($4400),Mark Andrews ($6000),WAS Football Team ($2000),Damiere Byrd ($3200),133.6
Drew Brees ($6800),Dalvin Cook ($7900),Alvin Kamara ($7200),Calvin Ridley ($6100),Allen Lazard ($4900),Curtis Samuel ($4600),Irv Smith Jr. ($3100),Patriots ($3200),Chris Carson ($6200),133.6
Kirk Cousins ($5700),Alvin Kamara ($7200),Austin Ekeler ($7000),Chris Godwin ($7100),Adam Thielen ($6700),Kenny Golladay ($6200),Irv Smith Jr. ($3100),WAS Football Team ($2000),Christian Kirk ($5000),133.6
Lamar Jackson ($8100),Chris Carson ($6200),Mark Ingram II ($5500),Adam Thielen ($6700),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Logan Thomas ($2800),Bills ($3700),DeSean Jackson ($4900),133.6
Matt Ryan ($6700),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Tyler Lockett ($6500),Kenny Golladay ($6200),Jarvis Landry ($5900),Mo Alie-Cox ($2600),Dolphins ($2000),Marquise Brown ($5100),133.6
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Josh Jacobs ($6800),Davante Adams ($7300),Kenny Golladay ($6200),Christian Kirk ($5000),Chris Herndon ($3300),Ravens ($3100),Larry Fitzgerald ($4500),133.6
Lamar Jackson ($8100),Joe Mixon ($6700),Todd Gurley II ($6100),DeVante Parker ($6000),Terry McLaurin ($5600),Preston Williams ($4500),Zach Ertz ($5800),Colts ($3000),Antonio Gibson ($4000),133.5
Aaron Rodgers ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),T.Y. Hilton ($5800),Marquise Brown ($5100),Allen Lazard ($4900),Jack Doyle ($3600),WAS Football Team ($2000),Austin Ekeler ($7000),133.5
Kirk Cousins ($5700),Josh Jacobs ($6800),Kerryon Johnson ($4400),Davante Adams ($7300),Kenny Golladay ($6200),Marquise Brown ($5100),Mark Andrews ($6000),Eagles ($3600),Allen Lazard ($4900),133.5
Tom Brady ($6500),Dalvin Cook ($7900),Chris Carson ($6200),Davante Adams ($7300),Jarvis Landry ($5900),Terry McLaurin ($5600),Robert Tonyan ($2500),Colts ($3000),Marquise Brown ($5100),133.5
Philip Rivers ($6000),Josh Jacobs ($6800),Miles Sanders ($6300),Michael Thomas ($9000),Mike Evans ($6900),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Jets ($2100),N'Keal Harry ($4400),133.5
Dwayne Haskins Jr. ($5000),Alvin Kamara ($7200),Chris Carson ($6200),Michael Thomas ($9000),Calvin Ridley ($6100),Preston Williams ($4500),Zach Ertz ($5800),Chargers ($2800),Dontrelle Inman ($3400),133.5
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Miles Sanders ($6300),Chris Godwin ($7100),Mike Evans ($6900),Kenny Golladay ($6200),Robert Tonyan ($2500),Dolphins ($2000),Ronald Jones II ($5200),133.5
Lamar Jackson ($8100),Austin Ekeler ($7000),Antonio Gibson ($4000),Julio Jones ($7700),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Colts ($3000),Marquise Brown ($5100),133.5
Kirk Cousins ($5700),Christian McCaffrey ($10000),Miles Sanders ($6300),Julio Jones ($7700),Adam Thielen ($6700),DK Metcalf ($5800),Robert Tonyan ($2500),Cardinals ($2100),Damiere Byrd ($3200),133.5
Cam Newton ($6100),Christian McCaffrey ($10000),Mark Ingram II ($5500),Davante Adams ($7300),Marquise Brown ($5100),Bryan Edwards ($4200),Mark Andrews ($6000),Saints ($2400),Dontrelle Inman ($3400),133.5
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Kenny Golladay ($6200),Marquise Brown ($5100),Larry Fitzgerald ($4500),O.J. Howard ($3700),Falcons ($2300),Ronald Jones II ($5200),133.5
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),Marvin Jones Jr. ($5500),Chris Herndon ($3300),Jaguars ($2300),Cordarrelle Patterson ($3400),133.5
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Tarik Cohen ($4900),Davante Adams ($7300),Tyler Lockett ($6500),DK Metcalf ($5800),Irv Smith Jr. ($3100),Ravens ($3100),Chris Thompson ($3000),133.5
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Miles Sanders ($6300),Julio Jones ($7700),Calvin Ridley ($6100),Marquise Brown ($5100),Logan Thomas ($2800),Jets ($2100),Steven Sims Jr. ($4700),133.5
Josh Allen ($6500),Christian McCaffrey ($10000),Joe Mixon ($6700),T.Y. Hilton ($5800),Larry Fitzgerald ($4500),Parris Campbell ($3900),George Kittle ($7200),Saints ($2400),Chris Thompson ($3000),133.5
Cam Newton ($6100),Alvin Kamara ($7200),Austin Ekeler ($7000),Michael Thomas ($9000),Mike Evans ($6900),N'Keal Harry ($4400),Dallas Goedert ($4100),Falcons ($2300),Chris Thompson ($3000),133.5
Matt Ryan ($6700),Alvin Kamara ($7200),Matt Breida ($5000),Julian Edelman ($6000),Terry McLaurin ($5600),DeSean Jackson ($4900),George Kittle ($7200),Chargers ($2800),Preston Williams ($4500),133.4
Lamar Jackson ($8100),Dalvin Cook ($7900),Mark Ingram II ($5500),Kenny Golladay ($6200),T.Y. Hilton ($5800),Larry Fitzgerald ($4500),Mark Andrews ($6000),Dolphins ($2000),Chris Conley ($4000),133.4
Drew Brees ($6800),Alvin Kamara ($7200),Austin Ekeler ($7000),Adam Thielen ($6700),DeVante Parker ($6000),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Lions ($2700),Ronald Jones II ($5200),133.4
Tyrod Taylor ($5600),Austin Ekeler ($7000),Joe Mixon ($6700),Davante Adams ($7300),Preston Williams ($4500),N'Keal Harry ($4400),Zach Ertz ($5800),Seahawks ($2400),Miles Sanders ($6300),133.4
Carson Wentz ($6300),Alvin Kamara ($7200),Todd Gurley II ($6100),Michael Thomas ($9000),Kenny Golladay ($6200),Henry Ruggs III ($5100),Ian Thomas ($3400),Cardinals ($2100),Curtis Samuel ($4600),133.4
Matthew Stafford ($6200),Alvin Kamara ($7200),Austin Ekeler ($7000),Adam Thielen ($6700),Marvin Jones Jr. ($5500),N'Keal Harry ($4400),T.J. Hockenson ($4200),Jets ($2100),Joe Mixon ($6700),133.4
Carson Wentz ($6300),Dalvin Cook ($7900),Austin Ekeler ($7000),Chris Godwin ($7100),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Robert Tonyan ($2500),Patriots ($3200),Dontrelle Inman ($3400),133.4
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Austin Ekeler ($7000),Calvin Ridley ($6100),Terry McLaurin ($5600),Christian Kirk ($5000),Logan Thomas ($2800),Patriots ($3200),Larry Fitzgerald ($4500),133.4
Matt Ryan ($6700),Christian McCaffrey ($10000),Ryan Nall ($4000),Julio Jones ($7700),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Ian Thomas ($3400),Dolphins ($2000),Robby Anderson ($4700),133.4
Tom Brady ($6500),Dalvin Cook ($7900),Antonio Gibson ($4000),Chris Godwin ($7100),Mike Evans ($6900),Adam Thielen ($6700),Dallas Goedert ($4100),Jets ($2100),Robby Anderson ($4700),133.4
Cam Newton ($6100),Miles Sanders ($6300),Matt Breida ($5000),Michael Thomas ($9000),Chris Godwin ($7100),N'Keal Harry ($4400),Mark Andrews ($6000),Lions ($2700),Dontrelle Inman ($3400),133.4
Cam Newton ($6100),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Adam Thielen ($6700),DeVante Parker ($6000),T.Y. Hilton ($5800),Irv Smith Jr. ($3100),Saints ($2400),Allen Lazard ($4900),133.3
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Ronald Jones II ($5200),Adam Thielen ($6700),Marquise Brown ($5100),Henry Ruggs III ($5100),Zach Ertz ($5800),Cardinals ($2100),DeSean Jackson ($4900),133.3
Josh Allen ($6500),Joe Mixon ($6700),Miles Sanders ($6300),DJ Moore ($6600),Terry McLaurin ($5600),Robby Anderson ($4700),Zach Ertz ($5800),Patriots ($3200),Curtis Samuel ($4600),133.3
Josh Allen ($6500),Josh Jacobs ($6800),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),DJ Moore ($6600),Ian Thomas ($3400),Dolphins ($2000),Curtis Samuel ($4600),133.3
Drew Brees ($6800),Alvin Kamara ($7200),Kerryon Johnson ($4400),Davante Adams ($7300),Chris Godwin ($7100),Adam Thielen ($6700),Mike Gesicki ($4500),Seahawks ($2400),Dontrelle Inman ($3400),133.3
Lamar Jackson ($8100),Miles Sanders ($6300),J.K. Dobbins ($5000),Adam Thielen ($6700),Kenny Golladay ($6200),Julian Edelman ($6000),Mike Gesicki ($4500),Chargers ($2800),N'Keal Harry ($4400),133.3
Lamar Jackson ($8100),Christian McCaffrey ($10000),Tarik Cohen ($4900),DJ Moore ($6600),T.Y. Hilton ($5800),Preston Williams ($4500),Ian Thomas ($3400),Chargers ($2800),Parris Campbell ($3900),133.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Joe Mixon ($6700),Davante Adams ($7300),Terry McLaurin ($5600),Hunter Renfrow ($4500),Chris Herndon ($3300),Cardinals ($2100),Bryan Edwards ($4200),133.3
Dwayne Haskins Jr. ($5000),Miles Sanders ($6300),Boston Scott ($4800),Chris Godwin ($7100),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),George Kittle ($7200),Patriots ($3200),DeSean Jackson ($4900),133.3
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Dalvin Cook ($7900),Henry Ruggs III ($5100),DeSean Jackson ($4900),Bryan Edwards ($4200),Logan Thomas ($2800),Falcons ($2300),Alvin Kamara ($7200),133.2
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Marvin Jones Jr. ($5500),Steven Sims Jr. ($4700),Irv Smith Jr. ($3100),Bills ($3700),Antonio Gibson ($4000),133.2
Matt Ryan ($6700),Christian McCaffrey ($10000),Chris Thompson ($4000),Adam Thielen ($6700),Kenny Golladay ($6200),Calvin Ridley ($6100),Hayden Hurst ($4300),WAS Football Team ($2000),Parris Campbell ($3900),133.2
Drew Brees ($6800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Michael Thomas ($9000),Curtis Samuel ($4600),Chris Thompson ($3000),Mo Alie-Cox ($2600),Chargers ($2800),Ryan Nall ($4000),133.2
Tom Brady ($6500),Joe Mixon ($6700),Chris Carson ($6200),Chris Godwin ($7100),Mike Evans ($6900),Marquise Brown ($5100),Ian Thomas ($3400),Dolphins ($2000),Todd Gurley II ($6100),133.2
Gardner Minshew II ($5800),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),DK Metcalf ($5800),Parris Campbell ($3900),Jack Doyle ($3600),Eagles ($3600),Tarik Cohen ($4900),133.2
Tyrod Taylor ($5600),Josh Jacobs ($6800),Joe Mixon ($6700),Davante Adams ($7300),Calvin Ridley ($6100),Tyler Boyd ($6100),Robert Tonyan ($2500),Ravens ($3100),Terry McLaurin ($5600),133.2
Carson Wentz ($6300),Christian McCaffrey ($10000),Antonio Gibson ($4000),Julian Edelman ($6000),DeVante Parker ($6000),T.Y. Hilton ($5800),Dallas Goedert ($4100),Jets ($2100),Marvin Jones Jr. ($5500),133.2
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Terry McLaurin ($5600),Henry Ruggs III ($5100),Allen Lazard ($4900),O.J. Howard ($3700),Lions ($2700),Robby Anderson ($4700),133.2
Josh Allen ($6500),Christian McCaffrey ($10000),Tarik Cohen ($4900),Chris Godwin ($7100),DJ Moore ($6600),DeSean Jackson ($4900),Logan Thomas ($2800),Patriots ($3200),Antonio Gibson ($4000),133.2
